,IT COMPANY NAME,LINKS
0,1. Tata Consultancy service. â€“ Largest IT company in India.,https://indiancompanies.in/top-10-it-company-in-india/#1_Tata_Consultancy_service_-_Largest_IT_company_in_India
1,2. Infosys,https://indiancompanies.in/top-10-it-company-in-india/#2_Infosys
2,3. HCL Technologies,https://indiancompanies.in/top-10-it-company-in-india/#3_HCL_Technologies
3,4. Wipro Limited,https://indiancompanies.in/top-10-it-company-in-india/#4_Wipro_Limited
4,5. Redington India Ltd,https://indiancompanies.in/top-10-it-company-in-india/#5_Redington_India_Ltd
5,6. Tech Mahindra Ltd,https://indiancompanies.in/top-10-it-company-in-india/#6_Tech_Mahindra_Ltd
6,7. Larsen & Toubro Infotech Ltd,https://indiancompanies.in/top-10-it-company-in-india/#7_Larsen_Toubro_Infotech_Ltd
7,8. Mphasis Ltd,https://indiancompanies.in/top-10-it-company-in-india/#8_Mphasis_Ltd
8,9. Mindtree Ltd,https://indiancompanies.in/top-10-it-company-in-india/#9_Mindtree_Ltd
9,10. Hexaware Technologies Ltd,https://indiancompanies.in/top-10-it-company-in-india/#10_Hexaware_Technologies_Ltd
